"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000103636",5,0,6,0,0,0
"ENSMUSG00000026468",0,0,10,0,0,0
"ENSMUSG00000103180",0,0,0,0,0,0
"ENSMUSG00000062939",0,10,68,3,7,12
"ENSMUSG00000101628",0,4,6,0,0,0
"ENSMUSG00000078291",0,0,10,0,0,6
"ENSMUSG00000109599",2,14,80,3,59,76
"ENSMUSG00000033684",1844,10681,29609,2113,12640,16388
"ENSMUSG00000102299",1,0,0,0,0,4
"ENSMUSG00000102558",0,0,0,0,0,0
"ENSMUSG00000016918",66,179,272,12,216,203
"ENSMUSG00000033671",340,1281,4687,371,2001,3720
"ENSMUSG00000103717",0,0,0,0,0,0
"ENSMUSG00000103771",0,0,2,0,0,0
"ENSMUSG00000102837",0,0,0,0,0,0
"ENSMUSG00000077419",0,0,0,0,0,0
"ENSMUSG00000102833",6,6,22,4,24,2
"ENSMUSG00000026489",242,851,2643,368,1701,2731
"ENSMUSG00000104520",2,0,8,4,0,0
"ENSMUSG00000025938",28,62,120,18,30,52
"ENSMUSG00000026159",1147,4913,13355,1049,6078,8487
"ENSMUSG00000104518",0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0
"ENSMUSG00000099498",0,0,0,0,0,0
"ENSMUSG00000113880",4,16,41,0,4,0
"ENSMUSG00000113973",0,0,13,0,0,0
"ENSMUSG00000113846",0,0,0,0,0,0
"ENSMUSG00000113084",0,0,0,0,0,0
"ENSMUSG00000042414",6,34,94,26,43,61
"ENSMUSG00000113925",0,0,0,0,0,0
"ENSMUSG00000114011",0,0,0,0,0,0
"ENSMUSG00000113097",0,0,0,0,0,0
"ENSMUSG00000101784",0,0,2,0,0,0
"ENSMUSG00000038496",0,0,20,0,22,6
"ENSMUSG00000100432",0,0,0,0,0,0
"ENSMUSG00000100190",0,0,0,0,0,0
"ENSMUSG00000113267",0,0,0,0,0,0
"ENSMUSG00000104423",0,0,0,0,0,0
"ENSMUSG00000101315",0,0,0,0,0,0
"ENSMUSG00000099691",0,0,0,0,0,0
"ENSMUSG00000026166",0,4,2,2,4,0
"ENSMUSG00000101173",0,0,0,0,0,0
"ENSMUSG00000064302",380,1248,4928,407,2308,3377
"ENSMUSG00000077257",0,0,0,0,0,0
"ENSMUSG00000107722",0,0,0,0,1,0
"ENSMUSG00000080542",0,0,0,0,0,0
"ENSMUSG00000100770",0,0,0,0,0,0
"ENSMUSG00000053161",0,0,2,0,2,0
"ENSMUSG00000101896",0,0,0,0,0,0
